name,rating,reviews,price,product_url,category,raw_text
Apple iPhone 17 Pro 12/256GB/6.3/48 Deep Blue,5.0,365,849990,https://www.technodom.kz/p/smartfon-apple-iphone-17-pro-12256gb6348-deep-blue-293869,smartphones,0 - 0 - 24 Смартфон Apple iPhone 17 Pro 12/256GB/6.3/48 Deep Blue 5 (365) 849 990 ₸ 70 833 ₸ x 12 мес В корзину Самовывоз сегодня Доставка завтра
Samsung Galaxy A07 6/128 Black,5.0,24,74990,https://www.technodom.kz/p/smartfon-gsm-samsung-galaxy-a07-6-128-6-7-50-black-sm-a075fzkhskz-293254,smartphones,0 - 0 - 24 Смартфон Samsung Galaxy A07 6/128 Black 5 (24) 74 990 ₸ до + 3 749 бонусов 6 250 ₸ x 12 мес В корзину Самовывоз сегодня Доставка завтра
Apple iPhone 17 Pro Max 12/256GB/6.9/48 Deep Blue,5.0,412,914990,https://www.technodom.kz/p/smartfon-gsm-apple-iphone-17-pro-max-12-256gb-6-9-48-deep-blue-293878,smartphones,0 - 0 - 24 Смартфон Apple iPhone 17 Pro Max 12/256GB/6.9/48 Deep Blue 5 (412) 914 990 ₸ 76 250 ₸ x 12 мес В корзину Самовывоз сегодня Доставка завтра
Apple iPhone 17 Pro 12/256GB/6.3/48 Silver,5.0,365,849990,https://www.technodom.kz/p/smartfon-apple-iphone-17-pro-12256gb6348-silver-293867,smartphones,0 - 0 - 24 Смартфон Apple iPhone 17 Pro 12/256GB/6.3/48 Silver 5 (365) 849 990 ₸ 70 833 ₸ x 12 мес В корзину Самовывоз сегодня Доставка завтра
Honor X9c 12/256GB Титановый черный,4.8,20,209990,https://www.technodom.kz/p/smartfon-gsm-honor-x9c-12256-titanovyj-chernyj-286247,smartphones,0 - 0 - 24 Смартфон Honor X9c 12/256GB Титановый черный 4.8 (20) 209 990 ₸ до + 10 499 бонусов 17 500 ₸ x 12 мес В корзину Самовывоз сегодня Доставка завтра
Honor X9c 12/256GB Нефритовый голубой,4.8,20,209990,https://www.technodom.kz/p/smartfon-gsm-honor-x9c-12256-nefritovyj-goluboj-286248,smartphones,0 - 0 - 24 Смартфон Honor X9c 12/256GB Нефритовый голубой 4.8 (20) 209 990 ₸ до + 10 499 бонусов от 6 794 ₸ x 60 мес В корзину Самовывоз сегодня На витрине
Honor X9c 8/256GB Титановый черный,5.0,19,199990,https://www.technodom.kz/p/smartfon-gsm-honor-x9c-8256-titanovyj-chernyj-286249,smartphones,0 - 0 - 24 Смартфон Honor X9c 8/256GB Титановый черный 5 (19) 199 990 ₸ до + 9 999 бонусов от 6 470 ₸ x 60 мес В корзину Самовывоз сегодня На витрине
Honor X9c 8/256GB Нефритовый голубой,5.0,19,199990,https://www.technodom.kz/p/smartfon-gsm-honor-x9c-8256-nefritovyj-goluboj-286250,smartphones,0 - 0 - 24 Смартфон Honor X9c 8/256GB Нефритовый голубой 5 (19) 199 990 ₸ до + 9 999 бонусов 16 666 ₸ x 12 мес В корзину Самовывоз сегодня Доставка завтра
Honor X9c 8/256GB Титановый фиолетовый,5.0,19,199990,https://www.technodom.kz/p/smartfon-gsm-honor-x9c-8256-titanovyj-fioletovyj-286251,smartphones,0 - 0 - 24 Смартфон Honor X9c 8/256GB Титановый фиолетовый 5 (19) 199 990 ₸ до + 9 999 бонусов 16 666 ₸ x 12 мес В корзину Самовывоз сегодня Доставка завтра
HONOR X9с SMART 8/256Gb Полуночно-черный,5.0,7,154990,https://www.technodom.kz/p/smartfon-gsm-honor-x9s-smart-8256gb-polunochno-chernii-288109,smartphones,Trade-in 0 - 0 - 24 -11% Смартфон HONOR X9с SMART 8/256Gb Полуночно-черный 5 (7) 154 990 ₸ 174 990 ₸ до + 7 749 бонусов от 5 015 ₸ x 60 мес В корзину Самовывоз сегодня На витрине
HONOR X9с SMART 8/256Gb Зеленый,5.0,7,154990,https://www.technodom.kz/p/smartfon-gsm-honor-x9s-smart-8256gb-zelenii-288110,smartphones,Trade-in 0 - 0 - 24 -11% Смартфон HONOR X9с SMART 8/256Gb Зеленый 5 (7) 154 990 ₸ 174 990 ₸ до + 7 749 бонусов от 5 015 ₸ x 60 мес В корзину Самовывоз сегодня На витрине
Apple iPhone 13 4/128GB Midnight,4.9,666,319990,https://www.technodom.kz/p/smartfon-gsm-apple-iphone-13-128gb-thx-61-12-5-midnight-252945,smartphones,0 - 0 - 24 Смартфон Apple iPhone 13 4/128GB Midnight 4.9 (666) 319 990 ₸ 26 666 ₸ x 12 мес В корзину Самовывоз сегодня Доставка завтра
"HONOR X9d 12/256/6,7/108 Midnight Black",4.9,34,229990,https://www.technodom.kz/p/smartfon-honor-x9d-1225667108-midnight-black-293694,smartphones,"0 - 0 - 24 + подарок Смартфон HONOR X9d 12/256/6,7/108 Midnight Black 4.9 (34) 229 990 ₸ до + 11 499 бонусов 19 166 ₸ x 12 мес В корзину Самовывоз сегодня Доставка завтра"
Apple iPhone 17 Pro 12/256GB/6.3/48 Cosmic Orange,5.0,365,849990,https://www.technodom.kz/p/smartfon-apple-iphone-17-pro-12256gb6348-cosmic-orange-293868,smartphones,0 - 0 - 24 Смартфон Apple iPhone 17 Pro 12/256GB/6.3/48 Cosmic Orange 5 (365) 849 990 ₸ 70 833 ₸ x 12 мес В корзину Самовывоз сегодня Доставка завтра
Apple iPhone 17 Pro Max 12/256GB/6.9/48 Silver,5.0,412,914990,https://www.technodom.kz/p/smartfon-gsm-apple-iphone-17-pro-max-12-256gb-6-9-48-silver-293876,smartphones,0 - 0 - 24 Смартфон Apple iPhone 17 Pro Max 12/256GB/6.9/48 Silver 5 (412) 914 990 ₸ 76 250 ₸ x 12 мес В корзину Самовывоз сегодня Доставка завтра
